Modelo,Field,Fertilizante,FORMA,Hibrido,Region,Antecesor,b0_alta,b1_x_alta,b2_y_alta,b3_xx_alta,b4_yy_alta,b5_x_y_alta,b0_media,b1_x_media,b2_y_media,b3_xx_media,b4_yy_media,b5_x_y_media,b0_baja,b1_x_baja,b2_y_baja,b3_xx_baja,b4_yy_baja,b5_x_y_baja
DxA,2024,null,null,GY_DK7272_2024,Guayaibi,Maiz,1.90671,0.15242,,-0.00138,,,,,,,,,6.90831,-0.08651,,0.00047,,
DxA,2023,null,null,LP_NS7921_2024,La Pertenencia,Maiz,2.434745938,0.133234603,,-0.000901295,,,,,,,,,1.3498697,0.1483375,,-0.0012834,,
DxA,2022,null,null,LS_NS7921_2022,La Soledad,Soja,3.4465,0.195175,,-0.0012188,,,4.9585,0.124075,,-0.0007688,,,6.942,0.06315,,-0.0005375,,
NxDxA,2022,NITRODOBLE,VOLEO,DL_BV8472PWU,Dona Luisa,Soja,-0.86423,0.38018,0.00732,-0.00297,-0.00004,0.00004,,,,,,,-0.20458,0.34671,0.00085,-0.00287,-0.00004,0.00014
NxDxA,2022,NITRODOBLE,VOLEO,AG_N258,Abra Grande,Vicia,5.187719,0.125037,0.011936,-0.000718,-0.000088,0.000037,,,,,,,6.1777729,0.0484306,0.0184861,-0.0002532,-0.0001478,0.0002
NxDxA,2022,NITRODOBLE,VOLEO,DL_N258,Dona Luisa,Soja,6.03418,0.10623,0.012,-0.00068,-0.00004,-0.00006,,,,,,,4.82008,0.14911,0.00986,-0.00106,-0.00004,-0.00003
NxDxA,2022,NITRODOBLE,VOLEO,LG_P1804PWU,Los Gatos,Centeno,0.15309,0.22418,0.02085,-0.00159,-0.00013,0.00026,2.33692,0.13853,0.02743,-0.00109,-0.00018,0.00038,5.4803,0.0281,0.0138,-0.0003,-0.0001,0.0003
NxDxA,2022,NITRODOBLE,VOLEO,LG_N258PWU,Los Gatos,Centeno,6.22253,0.03619,0.042,-0.00027,-0.00021,0.0002,,,,,,,3.48087,0.08853,0.01405,-0.00066,-0.00006,0.00019
